Dehiowita,100059,38.000
Urumewalla,100045,0.000
Battaramulla,100053,50.403
Bogawanthalawa,100081,6.600
Kottawa North Dharmapala School,100002,0.000
Dickoya,100085,3.800
Kantale,100094,3.000
Attidiya,100060,64.390
Padukka,100073,1.200
Hingurana,100058,66.400
Maradhana,100096,48.400
Naula,100057,0.200
Waga,100044,10.204
Madiwela,100051,0.000
Arangala,100032,63.800
Kelaniya,100072,77.800
Gonawala,100031,10.200
Oluvil,100092,0.000
Thalawathugoda,100062,0.000
Narahenpita,100074,56.800
Anuradhapura,100056,0.000
Aruwakkalu,100017,0.000
Wellawatta,100097,0.400
Orugodawatta ,100075,68.810
Jalthara,100076,0.000
Diyasaru Park,100067,51.000
Panawela,100080,28.200
Makumbura,100030,0.000
Boralasgamuwa,100049,58.990
Galle,100093,82.800
Nugegoda,100071,21.398
Kandy,100077,11.999
Colombo07,100063,47.990
Wattala,100083,0.000
Maskeliya,100054,7.200
Mulleriyawa,100065,22.400
Ruwanwella,100086,32.001
